[0.25       0.25       0.25       0.53908632],[0.16703723 0.13093375 0.11543765 0.11312694],[0.1846422  0.20340771 0.24257475 0.25942973],[0.1020985  0.1017959  0.07923491 0.18550182],[0.21894886 0.25569613 0.25548176 0.33584358],[0.21478065 0.24173206 0.21500603 0.23512975],[0.23726437 0.25030021 0.24565148 0.24675656],[0.2344425  0.22783376 0.22123141 0.21765261],[0.2475     0.23991503 0.25       0.28209048],[0.23216891 0.25896214 0.23120433 0.25774874],[0.30285394 0.27875288 0.28063837 0.48661806],[0.27726988 0.27743877 0.24336049 0.29020569],[0.28374976 0.41735457 0.25092227 0.25      ],[0.25172154 0.24873988 0.26442756 0.50700997],[0.27122938 0.35238776 0.27604489 0.26911916],[0.26525753 0.287879   0.24989561 0.3371739 ],[0.26437954 0.2758636  0.29155581 0.41766999],[0.29137771 0.29471703 0.245025   0.486116  ],[0.43154735 0.28243572 0.25       0.27823237],[0.26710186 0.24435442 0.245025   0.28000283],[0.24498552 0.24417707 0.24580906 0.26461349],[0.25119727 0.24521746 0.24550049 0.29582493],[0.26364039 0.25337884 0.2475     0.26560207],[0.2536574  0.25049639 0.24938049 0.27494219],[0.28298895 0.2552287  0.25       0.24766526],[0.26760245 0.25185962 0.25654532 0.34767896],[0.27285142 0.248175   0.25       0.25714428],[0.34037303 0.26647375 0.25       0.25      ],[0.26130367 0.24804444 0.25       0.27396932],[0.2475 0.25   0.25   0.25  ]
[0.30029728 0.49826356 0.31437977 0.32327643],[0.41989651 0.59651565 0.23284966 0.36041744],[0.44159484 0.41815559 0.27428168 0.31739795],[0.38713259 0.27349374 0.18300992 0.17885402],[0.29582775 0.43210384 0.27440449 0.3029083 ],[0.38159364 0.25510012 0.22275088 0.234696  ],[0.2687032  0.29631328 0.26870959 0.46694147],[0.33356234 0.42486952 0.29953047 0.30333174],[0.35857914 0.43858887 0.24527477 0.42371117],[0.48087559 0.39825378 0.3463269  0.34522981],[0.28072824 0.64198776 0.3868956  0.34595271],[0.49624653 0.50480477 0.31201654 0.79253366],[0.7817459  0.34974574 0.38077802 0.60680766],[0.53619337 0.33966695 0.31593654 0.44271038],[0.30320662 0.37883298 0.27798416 0.31283225],[0.3381686  0.29729554 0.32144524 0.54009747],[0.34798418 0.41630714 0.3335963  0.6592313 ],[0.6345747  0.37133983 0.31093487 0.41976677],[0.42492535 0.32878834 0.30101827 0.36908713],[0.41886637 0.28916324 0.31603432 0.31652738],[0.38957536 0.27052718 0.26510352 0.29497442],[0.26380178 0.26264318 0.24752991 0.44285689],[0.262871   0.24958404 0.245025   0.33909833],[0.2475     0.243204   0.24416324 0.25780612],[0.25430674 0.2440242  0.24476314 0.26172041],[0.24555328 0.26196869 0.25561937 0.28126601],[0.26086744 0.27340109 0.25338406 0.24774553],[0.34999501 0.25965265 0.25567556 0.26574096],[ 0.26129223 -1.62567376  0.25648939  0.3229106 ],[0.25 0.25 0.25 0.25]
[0.25       0.33827408 0.21634329 0.22707823],[0.19770018 0.21710689 0.3376544  0.26700163],[0.19377876 0.2180581  0.36873588 0.18694687],[0.16355025 0.2990363  0.18245403 0.18418187],[0.21221848 0.23611609 0.38902787 0.26570962],[0.22288998 0.41082887 0.23417202 0.23331516],[0.31914921 0.30642629 0.3287732  0.73505974],[0.28752576 0.52074038 0.32874181 0.34166434],[0.40613516 0.52849063 0.56525958 0.95043237],[0.69994438 0.30054836 0.40170225 0.66773345],[0.38947352 0.68211534 0.51474667 0.66669564],[0.62381632 1.10380385 0.45328504 0.60942818],[0.84205137 0.79975601 0.53739276 1.48141048],[0.9322889  0.45144183 0.54938254 0.60507133],[0.46325198 0.80190183 0.41683655 0.67709328],[0.60514418 0.49629778 0.51579568 0.81534655],[0.57276827 0.64965035 0.4425826  0.48948703],[0.48899279 0.59332984 0.52864017 0.70040477],[0.64886536 0.34775082 0.33407574 0.55924295],[0.40524642 0.40670056 0.34396057 0.71551763],[0.55133771 0.28179064 0.30280333 0.36436094],[0.29715268 0.29311336 0.37694596 0.31678843],[0.28991733 0.27474612 0.28311749 0.3195453 ],[0.28229552 0.25910367 0.24917398 0.24376474],[0.25899015 0.26020144 0.26146408 0.28223534],[0.26088175 0.24991782 0.24593107 0.27759167],[0.25405994 0.28354857 0.2534769  0.25849113],[0.28214215 0.25197092 0.26627711 0.33405858],[-0.5467695  -1.53179586  0.26861703  0.27054602],[0.245025   0.24516948 0.2475     0.2475    ]
[0.02973888 0.09010603 0.04911492 0.05383056],[0.11219177 0.1914376  0.17816873 0.40505288],[0.30178602 0.22533116 0.22218254 0.18546482],[0.18246455 0.31233784 0.3080326  0.20389997],[0.29689282 0.459163   0.2610487  0.27038437],[0.30745468 0.58522702 0.2165166  0.40113547],[0.37095082 0.47208945 0.53093152 0.77017019],[0.69999927 0.48641007 0.38235379 0.45915844],[0.57333515 1.11559012 0.62871507 0.75769146],[0.89378066 1.30094723 0.55700459 0.85928548],[0.74849114 0.78089225 0.6042536  1.14984008],[0.92860794 0.79426948 0.83408647 0.82017477],[0.61812169 0.78821399 1.10183457 1.57783677],[1.42555134 1.09559008 0.82038111 0.85250795],[1.32042483 0.894813   0.70902086 0.88669856],[0.9470178  0.67936466 0.80802751 1.07316763],[0.74690745 0.61334854 0.53694946 0.9299458 ],[0.76698014 0.9860733  0.56628776 0.7786996 ],[0.84323749 0.75772353 0.61828769 1.21190236],[0.75069619 0.61335321 0.59134946 0.9362319 ],[0.58461313 0.43444406 0.39430621 0.70126451],[0.45363516 0.29888243 0.3280014  0.37825823],[0.29813949 0.29093274 0.3636302  0.37685808],[0.30779156 0.36571073 0.26860358 0.27097457],[0.36365465 0.25873318 0.28457648 0.31926784],[0.30161797 0.24556565 0.27053934 0.28324425],[0.26352918 0.26630731 0.26529606 0.34814542],[0.35313032 0.28926609 0.26119331 0.26292392],[-0.85655054 -1.61495137  0.25808405  0.34910287],[0.2475 0.2475 0.25   0.25  ]
[0.25797311 0.21286563 0.17972839 0.22745289],[0.25655198 0.25271282 0.22908494 0.28442843],[0.23706308 0.2437247  0.23270535 0.33120209],[0.25700458 0.30891591 0.22984341 0.38660572],[0.30411668 0.52528338 0.25678905 0.26458641],[0.3679344  0.58229112 0.34851703 0.47430145],[0.46336253 0.52483939 0.56884199 0.72652766],[0.60987802 0.59151598 0.50728672 0.5021847 ],[0.6506397  0.78847099 0.86616075 1.01972093],[0.86083093 0.93109914 1.35265795 1.04596555],[1.08123393 1.00229398 0.93692851 1.27806713],[1.05867522 1.49701188 0.82569905 0.97750943],[1.22870627 1.63831988 1.12874887 1.16300938],[1.3014851  0.88901297 1.21882643 1.74423495],[1.16369069 1.39539628 0.93160655 1.04808449],[1.0394914  1.07419513 1.01052075 1.42426774],[1.14287783 1.32575421 0.67955132 1.04282714],[1.01030788 1.25637848 0.8092192  1.44527827],[1.010226   0.80850913 1.08934228 1.54831864],[1.24101166 0.82399711 0.71424249 0.97008179],[0.6609979  0.47886305 0.55028429 0.82000957],[0.68638703 0.32914125 0.34373825 0.45046724],[0.59633578 0.29403766 0.36621373 0.34809249],[0.30655681 0.34311846 0.28500711 0.42502506],[0.349362   0.33894446 0.3015162  0.44086356],[0.32308857 0.31968959 0.28510264 0.42026723],[0.37008646 0.26707341 0.33017712 0.2713284 ],[0.25601067 0.27758033 0.3337608  0.27763063],[ 0.26766563 -3.56555682  0.26618501  0.36324531],[0.2475     0.24871001 0.2475     0.24781759]
[0.1950345  0.23325492 0.18054353 0.17377058],[0.24719834 0.32430007 0.25536091 0.37576442],[0.2793125  0.29854536 0.30048149 0.4045079 ],[0.29913951 0.41648426 0.31310243 0.32943794],[0.25156937 0.36393695 0.41308729 0.50115452],[0.38261119 0.63976149 0.30268844 0.44558243],[0.50088171 0.71056357 0.65324713 0.76449942],[0.64742137 0.97615196 0.59932879 0.61936926],[0.99860715 1.1621639  0.73881321 0.88190171],[0.97514284 1.18441843 1.15370126 1.33016732],[1.25165528 0.89536999 1.08460796 1.58155499],[1.32804706 1.18456259 1.23903403 1.80787515],[1.37677787 1.34042168 1.52694033 1.27403688],[1.32470162 1.41300417 1.52076041 1.91128257],[1.37726055 1.61155524 1.15562531 1.28185059],[1.25016669 1.72686708 1.39020321 1.45073546],[1.45915178 1.45242785 1.5601041  2.10441958],[1.49721667 1.50639547 1.27566625 1.70007381],[1.59664699 1.24659114 1.33137022 1.43292058],[1.39677668 0.93456623 1.0707316  1.06892395],[1.12151747 0.61681395 0.74688296 0.98801369],[0.65288673 0.73172112 0.49851818 0.55755257],[0.54213559 0.45686583 0.41995685 0.77348402],[0.41951334 0.39619635 0.40130711 0.59144486],[0.40406977 0.32588981 0.38889963 0.51859491],[0.38998633 0.3288631  0.32761498 0.42121511],[0.42885119 0.27649005 0.29599249 0.33287009],[0.26853242 0.3023537  0.24790324 0.2713145 ],[-0.45189641 -2.47449055  0.33526434  0.29863391],[0.2475     0.24831747 0.25       0.25      ]
[0.24975949 0.25875764 0.2248149  0.25289964],[0.32198508 0.43514767 0.2666711  0.27155   ],[0.37902468 0.33869088 0.35892772 0.51847364],[0.40220275 0.46193831 0.32961113 0.34975032],[0.3920364  0.44157849 0.41342665 0.6400368 ],[0.54551476 0.5758078  0.47370824 0.68989178],[0.64873857 0.58593666 0.73873751 0.96629258],[0.84199478 0.71599135 0.62238926 0.71884595],[0.66512621 0.9362083  1.08577264 0.88930849],[1.09225901 1.43987484 1.19426557 0.98165242],[1.36559664 1.68373003 1.33880458 1.19287477],[1.65057677 1.82766775 1.60182957 1.70129887],[1.54062118 1.79556743 1.42185034 1.57170333],[1.70327839 1.73530509 1.66515698 1.77201816],[1.70412384 1.91471178 1.55681984 2.03096881],[1.93678954 2.00647898 1.56972325 2.19161884],[2.35639358 1.75717376 1.63763519 1.92081095],[1.68341223 1.66889654 1.58294545 1.772237  ],[1.65970876 1.50446845 1.4066698  1.49279761],[1.27445992 1.38158309 1.27738122 1.61841667],[1.44166782 0.91933258 1.05642615 1.342725  ],[0.88818936 0.80914461 0.65568301 0.91118977],[0.58729663 0.4682244  0.6404649  0.86023498],[0.69989988 0.55126116 0.42461391 0.50755652],[0.40154392 0.4101198  0.54714521 0.54304108],[0.33833857 0.35135173 0.52294779 0.34979895],[0.27643285 0.28192434 0.29565895 0.43983229],[0.27275816 0.24726652 0.25544667 0.30378831],[-1.13238755 -1.87140295  0.2860979   0.27603265],[0.2475     0.24610941 0.25       0.25      ]
[0.2256544  0.25653082 0.23689024 0.26838321],[0.2897298  0.31870558 0.36293224 0.32839992],[0.29896969 0.35444058 0.45551443 0.53716329],[0.4080165  0.56364754 0.41266423 0.55207893],[0.599421   0.40898037 0.38594304 0.93611003],[0.67346441 0.89109661 0.51703626 0.49392828],[0.760269   0.9618189  0.77977945 0.97866004],[1.03305028 1.17728483 0.88381329 0.85553318],[1.04956888 1.28374227 0.94082905 0.9278833 ],[1.20864995 1.12801193 1.15485852 1.3537964 ],[1.12760394 1.13114505 0.91145011 1.39065876],[1.37357866 1.31041501 1.79217808 1.31084618],[1.31153695 1.49293899 1.62827404 1.34805097],[1.61701842 1.61915771 1.38674398 1.59844386],[1.7171132  1.82735489 1.76478682 1.93274671],[1.99436406 2.00893132 2.07874212 1.88719015],[2.12128583 1.8091533  1.93886761 1.90042101],[1.68046821 1.6483581  1.49287669 1.64108068],[1.474475   1.6654189  1.45266634 1.57588727],[1.50197894 1.61963369 1.54520914 1.73672586],[1.73261102 1.36253822 1.28706094 1.36653643],[0.99047227 0.86215011 0.77296998 1.11272738],[0.67917498 0.5573332  0.81922945 0.9861694 ],[0.69173438 0.64130161 0.50804427 0.63770743],[0.81491442 1.02288179 0.58881146 0.51607759],[1.20638534 0.62148508 0.45202464 0.58901148],[0.59796516 0.55999583 0.37186447 0.59775461],[0.49691473 0.26497743 0.27238753 0.39385764],[-0.79993213 -2.57216889  0.25336008  0.28425433],[0.25 0.25 0.25 0.25]
[0.28424178 0.33113402 0.31790858 0.26182957],[0.34878228 0.51537771 0.35292736 0.28505089],[0.49507202 0.54946908 0.50180026 0.64818135],[0.4724721  0.88664118 0.4640489  0.7035531 ],[0.71382655 0.60819809 0.70702041 1.13015738],[0.570993   0.62826528 0.62713806 0.66544748],[0.70727395 0.83049796 0.75928756 1.02240021],[0.91945454 0.80434668 1.05821886 0.98411011],[0.96499906 1.11129381 1.0442395  0.98289132],[1.07633715 1.11799349 1.28723726 1.06450409],[1.24709949 1.27280949 1.09094403 1.08507358],[1.31790429 1.39513951 1.4242217  1.38493794],[1.36840873 1.44754564 1.41189281 1.49487203],[1.5562823  1.6116948  1.47728047 1.57012468],[1.66095338 1.58589229 1.83850048 1.79104483],[1.76025212 1.96010035 1.84153016 1.97341215],[1.59245979 1.69801335 1.94082827 1.90687366],[1.58139576 1.69566151 1.59882336 1.62082654],[1.62155526 1.62112765 1.65238892 1.61991412],[1.68218334 1.53276976 1.57013886 1.46988954],[1.21637791 1.16496737 1.49362789 1.68549914],[1.19640234 1.11310717 0.94463341 1.19892152],[0.8860947  0.71873278 0.8382713  1.0910554 ],[0.74574152 0.65396764 0.60319486 0.61226686],[0.56658133 0.40445493 0.4490224  0.65238251],[0.46878849 0.47426196 0.76034959 0.63173272],[0.37270321 0.39668865 0.38313633 0.6498171 ],[0.31034684 0.27345233 0.45349117 0.38415752],[ 0.28385524 -1.39201545  0.26179548  0.31702081],[0.245025 0.2475   0.2475   0.2475  ]
[0.25085238 0.32592255 0.26685155 0.33730914],[0.35907909 0.4920649  0.49499632 0.37835142],[0.41330069 0.71833262 0.50083362 0.54326278],[0.84719614 0.81143083 0.72747695 1.0741748 ],[0.88400135 0.87505496 0.81385887 1.18086567],[1.03488164 0.82062197 0.59419903 0.80650707],[0.89896287 1.0896605  0.86648231 0.96493104],[0.97026648 1.13470736 1.0046485  0.90203454],[1.07766604 1.05867047 1.03106898 1.15017922],[1.06855799 1.22135111 1.10379371 0.92623465],[1.26497333 1.22704929 1.35630103 1.3630713 ],[1.34176432 1.15977527 1.27133176 1.40384297],[1.45527876 1.54976164 1.47416416 1.40396329],[1.51557316 1.66605305 1.50500131 1.65261644],[1.6832094  1.76762506 1.78715882 1.7481349 ],[1.82917933 1.8145242  1.85201458 1.78342682],[1.79317964 1.79593089 1.82727334 1.83497774],[1.72856286 1.71287924 1.65981097 1.65632247],[1.74035738 1.71609842 1.56613307 1.65258622],[1.70153524 1.55901002 1.62604281 1.65673354],[1.60865357 1.29601714 1.5674374  1.50373487],[0.91222689 0.87529705 1.21691432 1.24451359],[0.91233116 0.80545212 1.12748401 1.11057325],[0.76388582 0.54418385 0.65826773 1.04847316],[0.55206954 0.6917821  0.53892223 0.66693424],[0.51367029 0.46401064 0.49955273 0.76732045],[0.55674345 0.45990176 0.42437378 0.60236896],[0.48134203 0.27167674 0.32022326 0.32086191],[-0.57787411 -2.77212301  0.30077131  0.32664512],[0.25610131 0.25       0.25       0.24849096]
